7392-767066
OS REV: 1.11 Sensor Cal: 1498245175
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1511347800,+3.50,+21.907, +6.332,+0.999
1511348400,+3.49,+21.798, +7.164,+0.996
1511349000,+3.50,+21.723, +7.626,+0.996
1511349600,+3.49,+21.664, +7.888,+0.997
1511350200,+3.49,+21.606, +8.038,+0.998
1511350800,+3.49,+21.539, +8.124,+0.997
1511351400,+3.49,+21.505, +8.183,+0.997
1511352000,+3.50,+21.438, +8.226,+0.997
1511352600,+3.49,+21.354, +8.249,+0.996
1511353200,+3.49,+21.296, +8.298,+0.999
1511353800,+3.49,+21.254, +8.305,+0.998
1511354400,+3.49,+21.195, +8.323,+0.998
1511355000,+3.49,+21.129, +8.325,+0.997
1511355600,+3.49,+21.087, +8.308,+0.996
1511356200,+3.49,+21.070, +8.302,+0.996
1511356800,+3.49,+20.978, +8.354,+0.998
1511357400,+3.49,+20.928, +8.321,+0.995
1511358000,+3.49,+20.919, +8.366,+0.998
1511358600,+3.49,+20.877, +8.339,+0.996
1511359200,+3.49,+20.836, +8.350,+0.996
1511359800,+3.49,+20.794, +8.356,+0.996
1511360400,+3.49,+20.752, +8.402,+0.998
1511361000,+3.49,+20.735, +8.344,+0.994
1511361600,+3.49,+20.685, +8.358,+0.995
1511362200,+3.49,+20.643, +8.389,+0.997
1511362800,+3.49,+20.610, +8.396,+0.997
1511363400,+3.49,+20.584, +8.388,+0.996
1511364000,+3.49,+20.559, +8.388,+0.996
1511364600,+3.49,+20.534, +8.393,+0.996
1511365200,+3.49,+20.501, +8.415,+0.997
1511365800,+3.49,+20.476, +8.405,+0.996
1511366400,+3.49,+20.442, +8.397,+0.995
1511367000,+3.49,+20.400, +8.405,+0.995
1511367600,+3.49,+20.383, +8.417,+0.996
1511368200,+3.49,+20.358, +8.442,+0.997
1511368800,+3.49,+20.325, +8.418,+0.996
1511369400,+3.49,+20.266, +8.423,+0.996
1511370000,+3.49,+20.266, +8.422,+0.995
1511370600,+3.49,+20.224, +8.436,+0.996
1511371200,+3.49,+20.241, +8.414,+0.995
1511371800,+3.49,+20.224, +8.421,+0.995
1511372400,+3.49,+20.216, +8.438,+0.996
1511373000,+3.49,+20.216, +8.421,+0.995
1511373600,+3.49,+20.249, +8.419,+0.995
1511374200,+3.49,+20.241, +8.431,+0.996
1511374800,+3.49,+20.241, +8.433,+0.996
1511375400,+3.49,+20.258, +8.408,+0.995
1511376000,+3.49,+20.275, +8.410,+0.995
1511376600,+3.49,+20.266, +8.443,+0.997
1511377200,+3.49,+20.291, +8.428,+0.997
1511377800,+3.49,+20.291, +8.423,+0.996
1511378400,+3.49,+20.350, +8.396,+0.995
1511379000,+3.49,+20.358, +8.405,+0.995
1511379600,+3.49,+20.350, +8.419,+0.997
1511380200,+3.49,+20.383, +8.418,+0.997
1511380800,+3.48,+20.467, +8.416,+0.995
1511381400,+3.49,+20.626, +8.447,+0.997
1511382000,+3.49,+20.651, +8.401,+0.995
1511382600,+3.48,+20.693, +8.403,+0.996
1511383200,+3.49,+20.660, +8.428,+0.997
1511383800,+3.49,+20.660, +8.396,+0.994
1511384400,+3.49,+20.668, +8.393,+0.995
1511385000,+3.49,+20.693, +8.404,+0.995
1511385600,+3.48,+20.677, +8.382,+0.995
1511386200,+3.49,+20.677, +8.381,+0.994
1511386800,+3.48,+20.685, +8.424,+0.997
1511387400,+3.49,+20.677, +8.443,+0.997
1511388000,+3.48,+20.735, +8.383,+0.995
1511388600,+3.49,+20.735, +8.380,+0.995
1511389200,+3.49,+20.743, +8.395,+0.996
1511389800,+3.48,+20.735, +8.398,+0.995
1511390400,+3.49,+20.777, +8.381,+0.995
1511391000,+3.48,+20.794, +8.404,+0.998
1511391600,+3.48,+20.777, +8.378,+0.994
1511392200,+3.49,+20.810, +8.380,+0.996
1511392800,+3.48,+20.802, +8.379,+0.996
1511393400,+3.48,+20.819, +8.376,+0.996
1511394000,+3.48,+20.844, +8.391,+0.997
1511394600,+3.49,+20.869, +8.361,+0.996
1511395200,+3.48,+20.861, +8.375,+0.996
1511395800,+3.48,+20.886, +8.358,+0.995
1511396400,+3.48,+20.894, +8.348,+0.995
1511397000,+3.48,+20.903, +8.357,+0.996
1511397600,+3.48,+20.911, +8.336,+0.995
1511398200,+3.48,+20.919, +8.373,+0.997
1511398800,+3.49,+20.944, +8.343,+0.996
1511399400,+3.48,+20.936, +8.356,+0.997
1511400000,+3.48,+20.953, +8.354,+0.996
1511400600,+3.48,+20.953, +8.324,+0.995
1511401200,+3.49,+20.970, +8.325,+0.996
1511401800,+3.48,+20.970, +8.324,+0.995
1511402400,+3.48,+21.003, +8.306,+0.995
1511403000,+3.48,+20.986, +8.320,+0.995
1511403600,+3.48,+21.020, +8.334,+0.996
1511404200,+3.48,+21.036, +8.330,+0.996
1511404800,+3.48,+21.036, +8.341,+0.997
1511405400,+3.48,+21.053, +8.317,+0.995
1511406000,+3.49,+21.062, +8.295,+0.995
1511406600,+3.48,+21.070, +8.326,+0.997
1511407200,+3.48,+21.078, +8.313,+0.995
1511407800,+3.48,+21.103, +8.314,+0.996
1511408400,+3.48,+21.103, +8.310,+0.997
1511409000,+3.48,+21.120, +8.324,+0.997
1511409600,+3.48,+21.129, +8.290,+0.995
1511410200,+3.48,+21.120, +8.303,+0.997
1511410800,+3.48,+21.137, +8.270,+0.994
1511411400,+3.48,+21.145, +8.284,+0.994
1511412000,+3.48,+21.179, +8.310,+0.997
1511412600,+3.49,+21.162, +8.295,+0.996
1511413200,+3.48,+21.145, +8.322,+0.997
1511413800,+3.49,+21.187, +8.288,+0.996
1511414400,+3.49,+21.204, +8.298,+0.996
1511415000,+3.49,+21.221, +8.282,+0.995
1511415600,+3.48,+21.204, +8.301,+0.996
1511416200,+3.48,+21.204, +8.327,+0.998
1511416800,+3.49,+21.221, +8.295,+0.995
1511417400,+3.48,+21.237, +8.318,+0.997
1511418000,+3.48,+21.246, +8.280,+0.995
1511418600,+3.48,+21.254, +8.308,+0.996
1511419200,+3.49,+21.288, +8.298,+0.996
1511419800,+3.48,+21.271, +8.328,+0.998
1511420400,+3.48,+21.296, +8.305,+0.996
1511421000,+3.48,+21.313, +8.282,+0.995
1511421600,+3.49,+21.279, +8.304,+0.996
1511422200,+3.49,+21.262, +8.286,+0.995
1511422800,+3.49,+21.262, +8.280,+0.994
1511423400,+3.48,+21.229, +8.302,+0.995
1511424000,+3.48,+21.212, +8.333,+0.996
1511424600,+3.49,+21.195, +8.323,+0.995
1511425200,+3.48,+21.204, +8.337,+0.996
1511425800,+3.49,+21.179, +8.339,+0.996
1511426400,+3.49,+21.162, +8.343,+0.996
1511427000,+3.48,+21.120, +8.361,+0.997
1511427600,+3.48,+21.095, +8.354,+0.996
1511428200,+3.48,+21.070, +8.342,+0.995
1511428800,+3.48,+21.045, +8.347,+0.995
1511429400,+3.48,+20.978, +8.353,+0.995
1511430000,+3.48,+20.953, +8.373,+0.996
1511430600,+3.48,+20.869, +8.368,+0.994
1511431200,+3.48,+20.844, +8.388,+0.995
1511431800,+3.48,+20.785, +8.413,+0.996
1511432400,+3.49,+20.735, +8.428,+0.996
1511433000,+3.49,+20.710, +8.422,+0.996
1511433600,+3.48,+20.668, +8.420,+0.995
1511434200,+3.48,+20.618, +8.417,+0.994
