mini_date,mini_time,mini_BV,mini_T,mini_DO,mini_Q,,arduino_date,arduino_time,arduino_Conduct,arduino_T,,
07/12/2017,6:37,3.51,27.301,7.692,0.999,,07/12/2017,07:25,0,27.96,,
07/12/2017,6:47,3.51,28.264,7.688,1.001,,07/12/2017,07:30,0,29.33,,
07/12/2017,6:57,3.51,28.384,3.816,1.001,,07/12/2017,07:36,0,29.42,,
07/12/2017,7:07,3.51,28.418,3.707,1.001,,07/12/2017,07:40,0,29.61,,
07/12/2017,7:17,3.51,28.427,3.372,1.002,,07/12/2017,07:45,0,30.16,,
07/12/2017,7:27,3.51,28.521,3.706,1.002,,07/12/2017,07:50,0,31.85,,
07/12/2017,7:37,3.51,28.589,3.633,1.002,,07/12/2017,07:55,0,33.48,,
07/12/2017,7:47,3.51,28.623,3.548,1.001,,07/12/2017,08:00,0.46,29.15,,
07/12/2017,7:57,3.51,28.658,3.623,1.003,,07/12/2017,08:05,0.46,28.69,,
07/12/2017,8:07,3.51,28.735,3.703,1.003,,07/12/2017,08:10,0.46,28.51,,
07/12/2017,8:17,3.51,28.752,3.619,1.002,,07/12/2017,08:15,0.47,28.51,,
07/12/2017,8:27,3.51,28.735,3.597,1.002,,07/12/2017,08:20,0.47,28.69,,
07/12/2017,8:37,3.51,28.632,3.624,1.001,,07/12/2017,08:25,0.47,28.69,,
07/12/2017,8:47,3.51,28.632,3.64,1.002,,07/12/2017,08:30,0.48,28.6,,
07/12/2017,8:57,3.51,28.641,3.694,1.002,,07/12/2017,08:35,0.48,28.69,,
07/12/2017,9:07,3.51,28.675,3.7,1.002,,07/12/2017,08:40,0.47,28.69,,
07/12/2017,9:17,3.51,28.709,3.846,1.001,,07/12/2017,08:45,0.48,28.69,,
07/12/2017,9:27,3.51,28.709,3.697,1.001,,07/12/2017,08:50,0.49,28.78,,
07/12/2017,9:37,3.51,28.709,3.683,1.002,,07/12/2017,08:55,0.49,28.87,,
07/12/2017,9:47,3.51,28.675,3.663,1.002,,07/12/2017,09:00,0.49,28.96,,
07/12/2017,9:57,3.51,28.692,3.824,1.001,,07/12/2017,09:05,0.51,28.96,,
07/12/2017,10:07,3.51,28.641,3.655,1.002,,07/12/2017,09:10,0.52,28.96,,
07/12/2017,10:17,3.51,28.623,3.777,1.001,,07/12/2017,09:15,0.53,28.87,,
07/12/2017,10:27,3.51,28.632,3.693,1.001,,07/12/2017,09:20,0.49,28.78,,
07/12/2017,10:37,3.51,28.615,3.604,1.003,,07/12/2017,09:25,0.5,28.78,,
07/12/2017,10:47,3.51,28.598,3.815,1.001,,07/12/2017,09:30,0.5,28.78,,
07/12/2017,10:57,3.51,28.581,3.777,1.001,,07/12/2017,09:35,0.51,28.78,,
07/12/2017,11:07,3.51,28.555,3.779,1.001,,07/12/2017,09:40,0.51,28.69,,
07/12/2017,11:17,3.51,28.555,3.75,1.001,,07/12/2017,09:45,0.51,28.69,,
07/12/2017,11:27,3.51,28.538,3.744,1.001,,07/12/2017,09:50,0.52,28.69,,
07/12/2017,11:37,3.51,28.529,4.003,1.002,,07/12/2017,09:55,0.53,28.69,,
07/12/2017,11:47,3.51,28.521,3.937,1.001,,07/12/2017,10:00,0.54,28.69,,
07/12/2017,11:57,3.51,28.495,3.747,1.002,,07/12/2017,10:05,0.52,28.69,,
07/12/2017,12:07,3.51,28.461,3.894,1.001,,07/12/2017,10:10,0.52,28.69,,
07/12/2017,12:17,3.51,28.435,3.927,1.001,,07/12/2017,10:15,0.51,28.78,,
07/12/2017,12:27,3.51,28.427,3.843,1.001,,07/12/2017,10:20,0.5,28.78,,
07/12/2017,12:37,3.51,28.384,3.915,1.001,,07/12/2017,10:25,0.5,28.78,,
07/12/2017,12:47,3.51,28.367,3.899,1,,07/12/2017,10:30,0.5,28.78,,
07/12/2017,12:57,3.51,28.375,3.792,1.001,,07/12/2017,10:35,0.5,28.69,,
07/12/2017,13:07,3.51,28.384,3.849,1.001,,07/12/2017,10:40,0.5,28.69,,
07/12/2017,13:17,3.51,28.375,3.84,1.002,,07/12/2017,10:45,0.51,28.69,,
07/12/2017,13:27,3.51,28.358,3.601,1.002,,07/12/2017,10:50,0.51,28.69,,
07/12/2017,13:37,3.51,28.375,3.49,1.002,,07/12/2017,10:55,0.51,28.69,,
07/12/2017,13:47,3.51,28.375,3.74,1.001,,07/12/2017,11:00,0.52,28.69,,
07/12/2017,13:57,3.51,28.35,3.764,1.001,,07/12/2017,11:05,0.52,28.69,,
07/12/2017,14:07,3.51,28.333,3.825,1.002,,07/12/2017,11:10,0.51,28.69,,
07/12/2017,14:17,3.51,28.298,3.735,1.002,,07/12/2017,11:15,0.52,28.69,,
07/12/2017,14:27,3.51,28.324,3.636,1.002,,07/12/2017,11:20,0.5,28.69,,
07/12/2017,14:37,3.51,28.307,3.504,1.002,,07/12/2017,11:25,0.49,28.6,,
07/12/2017,14:47,3.51,28.307,3.552,1.002,,07/12/2017,11:30,0.49,28.6,,
07/12/2017,14:57,3.51,28.333,3.543,1.002,,07/12/2017,11:35,0.49,28.6,,
07/12/2017,15:07,3.51,28.315,3.367,1.002,,07/12/2017,11:40,0.5,28.6,,
07/12/2017,15:17,3.51,28.315,3.092,1.003,,07/12/2017,11:45,0.49,28.6,,
07/12/2017,15:27,3.51,28.341,3.073,1.002,,07/12/2017,11:50,0.5,28.6,,
07/12/2017,15:37,3.51,28.324,2.937,1.002,,07/12/2017,11:55,0.5,28.6,,
07/12/2017,15:47,3.51,28.315,3.008,1.001,,07/12/2017,12:00,0.5,28.6,,
07/12/2017,15:57,3.51,28.281,3.163,1.002,,07/12/2017,12:05,0.5,28.6,,
07/12/2017,16:07,3.51,28.324,3.336,1.001,,07/12/2017,12:10,0.51,28.6,,
07/12/2017,16:17,3.51,28.29,2.893,1.003,,07/12/2017,12:15,0.52,28.51,,
07/12/2017,16:27,3.51,28.324,2.71,1.003,,07/12/2017,12:20,0.52,28.51,,
07/12/2017,16:37,3.51,28.324,3.002,1.002,,07/12/2017,12:25,0.51,28.51,,
07/12/2017,16:47,3.51,28.333,2.994,1.002,,07/12/2017,12:30,0.51,28.51,,
07/12/2017,16:57,3.51,28.307,3.154,1.002,,07/12/2017,12:35,0.52,28.51,,
