mini_date,mini_time,mini_BV,mini_T,mini_DO,mini_Q,,,,,,
07/12/2017,6:37,3.51,27.301,7.692,0.999,,,,,,
07/12/2017,6:47,3.51,28.264,7.688,1.001,,,,,,
07/12/2017,6:57,3.51,28.384,3.816,1.001,,,,,,
07/12/2017,7:07,3.51,28.418,3.707,1.001,,,,,,
07/12/2017,7:17,3.51,28.427,3.372,1.002,,,,,,
07/12/2017,7:27,3.51,28.521,3.706,1.002,,,,,,
07/12/2017,7:37,3.51,28.589,3.633,1.002,,,,,,
07/12/2017,7:47,3.51,28.623,3.548,1.001,,,,,,
07/12/2017,7:57,3.51,28.658,3.623,1.003,,,,,,
07/12/2017,8:07,3.51,28.735,3.703,1.003,,,,,,
07/12/2017,8:17,3.51,28.752,3.619,1.002,,,,,,
07/12/2017,8:27,3.51,28.735,3.597,1.002,,,,,,
07/12/2017,8:37,3.51,28.632,3.624,1.001,,,,,,
07/12/2017,8:47,3.51,28.632,3.64,1.002,,,,,,
07/12/2017,8:57,3.51,28.641,3.694,1.002,,,,,,
07/12/2017,9:07,3.51,28.675,3.7,1.002,,,,,,
07/12/2017,9:17,3.51,28.709,3.846,1.001,,,,,,
07/12/2017,9:27,3.51,28.709,3.697,1.001,,,,,,
07/12/2017,9:37,3.51,28.709,3.683,1.002,,,,,,
07/12/2017,9:47,3.51,28.675,3.663,1.002,,,,,,
07/12/2017,9:57,3.51,28.692,3.824,1.001,,,,,,
07/12/2017,10:07,3.51,28.641,3.655,1.002,,,,,,
07/12/2017,10:17,3.51,28.623,3.777,1.001,,,,,,
07/12/2017,10:27,3.51,28.632,3.693,1.001,,,,,,
07/12/2017,10:37,3.51,28.615,3.604,1.003,,,,,,
07/12/2017,10:47,3.51,28.598,3.815,1.001,,,,,,
07/12/2017,10:57,3.51,28.581,3.777,1.001,,,,,,
07/12/2017,11:07,3.51,28.555,3.779,1.001,,,,,,
07/12/2017,11:17,3.51,28.555,3.75,1.001,,,,,,
07/12/2017,11:27,3.51,28.538,3.744,1.001,,,,,,
07/12/2017,11:37,3.51,28.529,4.003,1.002,,,,,,
07/12/2017,11:47,3.51,28.521,3.937,1.001,,,,,,
07/12/2017,11:57,3.51,28.495,3.747,1.002,,,,,,
07/12/2017,12:07,3.51,28.461,3.894,1.001,,,,,,
07/12/2017,12:17,3.51,28.435,3.927,1.001,,,,,,
07/12/2017,12:27,3.51,28.427,3.843,1.001,,,,,,
07/12/2017,12:37,3.51,28.384,3.915,1.001,,,,,,
07/12/2017,12:47,3.51,28.367,3.899,1,,,,,,
07/12/2017,12:57,3.51,28.375,3.792,1.001,,,,,,
07/12/2017,13:07,3.51,28.384,3.849,1.001,,,,,,
07/12/2017,13:17,3.51,28.375,3.84,1.002,,,,,,
07/12/2017,13:27,3.51,28.358,3.601,1.002,,,,,,
07/12/2017,13:37,3.51,28.375,3.49,1.002,,,,,,
07/12/2017,13:47,3.51,28.375,3.74,1.001,,,,,,
07/12/2017,13:57,3.51,28.35,3.764,1.001,,,,,,
07/12/2017,14:07,3.51,28.333,3.825,1.002,,,,,,
07/12/2017,14:17,3.51,28.298,3.735,1.002,,,,,,
07/12/2017,14:27,3.51,28.324,3.636,1.002,,,,,,
07/12/2017,14:37,3.51,28.307,3.504,1.002,,,,,,
07/12/2017,14:47,3.51,28.307,3.552,1.002,,,,,,
07/12/2017,14:57,3.51,28.333,3.543,1.002,,,,,,
07/12/2017,15:07,3.51,28.315,3.367,1.002,,,,,,
07/12/2017,15:17,3.51,28.315,3.092,1.003,,,,,,
07/12/2017,15:27,3.51,28.341,3.073,1.002,,,,,,
07/12/2017,15:37,3.51,28.324,2.937,1.002,,,,,,
07/12/2017,15:47,3.51,28.315,3.008,1.001,,,,,,
07/12/2017,15:57,3.51,28.281,3.163,1.002,,,,,,
07/12/2017,16:07,3.51,28.324,3.336,1.001,,,,,,
07/12/2017,16:17,3.51,28.29,2.893,1.003,,,,,,
07/12/2017,16:27,3.51,28.324,2.71,1.003,,,,,,
07/12/2017,16:37,3.51,28.324,3.002,1.002,,,,,,
07/12/2017,16:47,3.51,28.333,2.994,1.002,,,,,,
07/12/2017,16:57,3.51,28.307,3.154,1.002,,,,,,
07/12/2017,17:07,3.52,28.333,3.202,1.001,,,,,,
07/12/2017,17:17,3.51,28.315,3.227,1.001,,,,,,
07/12/2017,17:27,3.52,28.307,3.413,1.002,,,,,,
07/12/2017,17:37,3.51,28.333,3.244,1.001,,,,,,
07/12/2017,17:47,3.51,28.341,3.172,1.003,,,,,,
07/12/2017,17:57,3.51,28.35,3.29,1.003,,,,,,
07/12/2017,18:07,3.51,28.315,3.139,1.002,,,,,,
07/12/2017,18:17,3.51,28.29,3.204,1.002,,,,,,
07/12/2017,18:27,3.51,28.307,3.187,1.003,,,,,,
07/12/2017,18:37,3.51,28.281,2.991,1.003,,,,,,
07/12/2017,18:47,3.51,28.29,2.981,1.003,,,,,,
07/12/2017,18:57,3.52,28.273,2.868,1.003,,,,,,
07/12/2017,19:07,3.51,28.264,3.174,1.002,,,,,,
07/12/2017,19:17,3.51,28.264,3.094,1.002,,,,,,
07/12/2017,19:27,3.52,28.29,3.262,1.002,,,,,,
07/12/2017,19:37,3.52,28.281,3.028,1.003,,,,,,
07/12/2017,19:47,3.51,28.298,3.184,1.002,,,,,,
07/12/2017,19:57,3.51,28.307,2.995,1.002,,,,,,
07/12/2017,20:07,3.51,28.307,3.022,1.003,,,,,,
07/12/2017,20:17,3.51,28.298,2.955,1.002,,,,,,
07/12/2017,20:27,3.51,28.298,3.149,1.003,,,,,,
07/12/2017,20:37,3.51,28.324,3.089,1.002,,,,,,
07/12/2017,20:47,3.51,28.298,2.995,1.002,,,,,,
07/12/2017,20:57,3.51,28.324,2.949,1.003,,,,,,
07/12/2017,21:07,3.51,28.315,2.944,1.003,,,,,,
07/12/2017,21:17,3.52,28.333,3.001,1.002,,,,,,
07/12/2017,21:27,3.51,28.341,2.984,1.003,,,,,,
07/12/2017,21:37,3.51,28.298,2.952,1.002,,,,,,
07/12/2017,21:47,3.51,28.324,3.028,1.003,,,,,,
07/12/2017,21:57,3.51,28.315,3.071,1.003,,,,,,
07/12/2017,22:07,3.51,28.333,3.055,1.002,,,,,,
07/12/2017,22:17,3.51,28.324,3.013,1.003,,,,,,
07/12/2017,22:27,3.52,28.281,2.969,1.002,,,,,,
07/12/2017,22:37,3.51,28.315,2.89,1.002,,,,,,
07/12/2017,22:47,3.51,28.29,2.799,1.002,,,,,,
07/12/2017,22:57,3.51,28.281,2.932,1.002,,,,,,
07/12/2017,23:07,3.52,28.247,2.857,1.002,,,,,,
07/12/2017,23:17,3.51,28.256,3.021,1.002,,,,,,
07/12/2017,23:27,3.51,28.239,2.848,1.003,,,,,,
07/12/2017,23:37,3.51,28.239,2.833,1.003,,,,,,
07/12/2017,23:47,3.51,28.221,2.949,1.003,,,,,,
07/12/2017,23:57,3.51,28.221,2.934,1.003,,,,,,
08/12/2017,0:07,3.51,28.23,3.381,1.002,,,,,,
08/12/2017,0:17,3.52,28.179,2.924,1.002,,,,,,
08/12/2017,0:27,3.51,28.204,2.783,1.003,,,,,,
08/12/2017,0:37,3.51,28.179,2.654,1.003,,,,,,
08/12/2017,0:47,3.51,28.196,2.798,1.002,,,,,,
08/12/2017,0:57,3.51,28.213,2.912,1.003,,,,,,
08/12/2017,1:07,3.52,28.196,2.961,1.002,,,,,,
08/12/2017,1:17,3.51,28.221,3.113,1.001,,,,,,
08/12/2017,1:27,3.51,28.213,3.02,1.002,,,,,,
